id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d,posterior_eta_a,posterior_omega_d,posterior_omega_a,fixed_lamgda
53b98f20fdf99b472f4700e4,0.607232579823223,3.56440838766651,1,0,1.58037781225095,1.25318030750904,4,0.0768791095283224,0.133136718428042,0.548751142502953,0.063637304570865,1
558fa9dffdf99b7ce2924662,0.659648652411401,1.12321511721408,1,0,0.754550222341604,9.99457839087466,4,0.12930665859566,0.295842702971745,0.219842863338367,0.210876505654093,1
5590a34cfdf99b729d4f69dc,0.562559219463348,0.491288165904209,1,0,0.700900038637946,15.4474557442535,4,0.341735629233508,0.416722565083576,0.516519133356443,0.218213562858751,1
5596a991fdf99b2d1e834690,0.383984356821503,2.29142452746075,1,0,0.623178504105325,0.877115973613491,4,0.376272061999905,0.55509564073121,0.610208021860748,0.295803622823582,1
55bcd160fdf99b1c4e4ae632,0.557797161383599,3.93358250546376,1,0,1.29051555380685,1.50015782968517,4,0.0757245049696705,0.110233946169261,0.513806801987233,0.197023346668563,1
55cc7cfb74297e0005235c27,0.62124758875958,3.35238570194951,1,0,1.17985185632488,0.754424131425534,4,0.116908352930681,0.166712614422565,0.555775706823704,0.122831066441763,1
55eb04337480920010aa9e0d,0.591350542496011,4.14108967853205,1,0,1.52501399703719,1.81680539247704,4,0.05998955675986,0.0794548928395246,0.209480561782734,0.0617173183262316,1
562c2ff0733ea000111630df,0.563483164434845,5.66258444395524,1,0,0.972672274440544,0.33056995446277,4,0.0696929902388805,0.0698306800281974,0.407684152316234,0.0540961419755187,1
562eb896733ea000051638c6,0.65857787980387,2.61177420323977,1,0,0.874773736066385,3.45480208443416,4,0.0968893228115782,0.0742264820885584,0.282402413587227,0.110064144924497,1
5658000ca9872d0011e1ba26,0.608526367498369,2.95848659903189,1,0,1.15059289055698,0.289158707032552,4,0.11836932410649,0.149327867550482,0.450868057296376,0.298691469084819,1
565bff58c121fe0005fc390d,0.537889855124804,4.51640529081288,1,0,1.00110072946023,1.07333674174358,4,0.0690838751044312,0.131094530683941,0.477678657621863,0.417426937713799,1
56780a5a89319e0011644cb4,0.279357938875644,0.360660598854888,1,0,0.788296344448673,15.4989711229944,4,0.296267279898327,0.330088486907408,0.0281295212830722,0.228220269693006,1
567dd32b4f0ef30006dbb718,0.575478726336571,3.35808787477937,1,0,1.10668659406989,0.533383344534811,4,0.147573041405645,0.201938133208552,0.556361198608006,0.14709600451791,1
