id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d_win,posterior_eta_d_loss,posterior_eta_a_win,posterior_eta_a_loss,posterior_omega,fixed_lamgda
53b98f20fdf99b472f4700e4,0.914840766146397,1.79617066033023,1,0,0.930887713149929,5.62840965883764,4,0.0729014138377748,0.0670143228821635,0.485567841070338,0.142839033199175,0.523596863576093,1
558fa9dffdf99b7ce2924662,0.743309645626814,0.473963340334576,1,0,0.786504807458247,10.6599144893856,4,0.563999212717678,0.240170075637464,0.565478868802997,0.463704159956594,0.0749555863622077,1
5590a34cfdf99b729d4f69dc,0.798280887301155,0.195165700403406,1,0,0.701344466955775,21.661624833489,4,0.724242301226982,0.624079543723415,0.369517405030564,0.60854181965295,0.237235579698975,1
5596a991fdf99b2d1e834690,0.5262262990519,0.513332057195356,1,0,0.821290731103398,20.8174029658252,4,0.190227623062781,0.598221075224406,0.613571611519516,0.457067061908838,0.572936659658281,1
55bcd160fdf99b1c4e4ae632,0.916826014691683,0.802441122843594,1,0,1.08237107480065,12.3971879653743,4,0.12597412169834,0.184229194613719,0.532943528478213,0.178569215191017,0.587830168204711,1
55cc7cfb74297e0005235c27,0.906441615683925,0.96638213338642,1,0,1.58981483286692,13.3855901754469,4,0.0384212901806098,0.205105651437866,0.271885140033069,0.207531368033751,0.250543168804697,1
55eb04337480920010aa9e0d,0.913730571210225,0.818039486159203,1,0,1.09948544576281,11.1387327676435,4,0.0935265262254511,0.134982425707434,0.566715673644593,0.1662963973596,0.169077590773748,1
562c2ff0733ea000111630df,0.917911902356597,1.79734413303933,1,0,1.28769732784453,6.62296704412012,4,0.093151571068072,0.0880963420888411,0.419297945889078,0.102817528459597,0.657690946174654,1
562eb896733ea000051638c6,0.796817734116816,2.43435875915581,1,0,1.02666684850627,2.20095407460597,4,0.404270263148463,0.0939106956364599,0.697150623498408,0.0797200451286386,0.120828185936759,1
5658000ca9872d0011e1ba26,0.88906223238993,0.816725578081557,1,0,1.82693891503814,11.9964285260597,4,0.0609405502026401,0.227294556294402,0.304109814213784,0.132554739119005,0.30442461144005,1
565bff58c121fe0005fc390d,0.882766085139409,0.390280282879658,1,0,0.746110541498151,37.7678624593055,4,0.0885992008294574,0.540607378271566,0.329844965722437,0.323064466836071,0.583401013665432,1
56780a5a89319e0011644cb4,0.626584284193827,0.382054082126001,1,0,1.01755002674094,14.3238411777256,4,0.72646202939664,0.170440674646133,0.43423710519642,0.304619997342891,0.0553767321348379,1
567dd32b4f0ef30006dbb718,0.854788001519406,1.06669196550903,1,0,1.52732840010107,9.27226686154411,4,0.0752093526145081,0.140923772443173,0.632781196021023,0.194174920118781,0.383507143440166,1
5685850c333cbd000d4e042f,0.903398451562159,1.08588457317217,1,0,1.3414438873472,10.9567334035733,4,0.0715201092852431,0.104973597947837,0.432807616708574,0.216052848953702,0.425975493507114,1
568d0641b5a2c2000cb657d0,0.908702778709906,0.873699175351508,1,0,1.62526729789987,11.2384021381467,4,0.0656704420583483,0.122880652927454,0.525178113234455,0.1466539379452,0.296816799429728,1
5694e7b5e0c800000b5a3841,0.886605863284119,1.45194245294477,1,0,1.24971097087368,13.0474303699935,4,0.0689053915507084,0.152365449592479,0.456407747232699,0.227449500194264,0.351935153635254,1
56b72c28f2fc70000c32fb37,0.913823391634524,1.48192735345174,1,0,1.49502022341442,5.6260018262437,4,0.0871797752763772,0.0748477012882378,0.56896305443837,0.08452909978638,0.391280096844118,1
56e225c2ec0fdd000641e72d,0.856925310958354,0.531457295034887,1,0,1.1437744110229,5.95393079047804,4,0.494274391894133,0.492497615743836,0.759168039542837,0.348944413616872,0.384383161560373,1
56e8bf5a870a8e000b4a8d6e,0.887822850331724,1.41032647824509,1,0,1.15240959970851,3.1303299021251,4,0.367398502825688,0.186679873879297,0.636154378021376,0.092418903916855,0.124569294455077,1
56ec9fa4f9ffc4000ac1941b,0.909386937452474,1.87710688864215,1,0,1.02650564925012,6.52046005951858,4,0.0653469428199385,0.167674683603362,0.420308058609691,0.15689251324321,0.484037502283609,1
56f9364e895094000c8f4967,0.273938040516926,0.627512813342123,1,0,0.866158519466701,9.96557842997373,4,0.721241988463246,0.147898884008199,0.5,0.5,0.027082911169517,1
570f018053cc8f000f8d4bbb,0.838003140496286,0.606465358055442,1,0,0.679901045343089,17.7781762888134,4,0.0861852722212453,0.235862359525622,0.456326211234805,0.220106768230686,0.357813802828655,1
5769a352f48c3b00016737f9,0.762736419459531,2.48956940060303,1,0,1.3249653506691,5.07130123616466,4,0.0799435703908434,0.036811174304837,0.56244614933884,0.299236515506015,0.477975391602419,1
576ad50bc8a90000010d99c8,0.8621915127599,0.631895060356919,1,0,1.27445808452515,9.54888325567111,4,0.0692741812597508,0.135713298878198,0.397201813328534,0.242189769563622,0.101664599433599,1
577599baca706f000190eb48,0.867785016853179,0.371360783172273,1,0,0.675154520168028,3.88161761150784,4,0.173314619177676,0.265588746335618,0.644468579987798,0.143182024585243,0.0278988633631919,1
57ad04adddc11d00015bb1c3,0.891011392815331,1.30659659079637,1,0,0.940195056116594,7.21464584030941,4,0.0578772842650164,0.0344485798569792,0.584596413790378,0.176711165008682,0.571460743939424,1
57b771677bcf1a00013f2ba8,0.910038764820347,1.842146108306,1,0,1.01117146674423,6.15130310232109,4,0.058901951698084,0.140317800844007,0.234207962519241,0.112510472649003,0.433534217157804,1
