id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d_win,posterior_eta_d_loss,posterior_eta_a,posterior_omega,fixed_lamgda
53b98f20fdf99b472f4700e4,0.958984988334419,0.99100136816169,1,0,0.803085483102146,14.900073220473,4,0.0436988484124719,0.152871731211214,0.231073278234215,0.291361891427375,1
558fa9dffdf99b7ce2924662,0.744346918598609,0.463282989136325,1,0,0.799975762506088,10.8820947577321,4,0.559564422096694,0.24254317238734,0.533261858627793,0.0753268528263276,1
5590a34cfdf99b729d4f69dc,0.795767750392933,0.195153582524087,1,0,0.69053933094225,21.490348282672,4,0.732305835743696,0.627139283948548,0.486837615463061,0.252104359641742,1
5596a991fdf99b2d1e834690,0.539178072585777,0.477389556981536,1,0,0.797901846336741,24.8452827866095,4,0.171923846620608,0.62777091378781,0.53541210518556,0.5768573708153,1
55bcd160fdf99b1c4e4ae632,0.947594191310051,0.505984709378796,1,0,0.936556110999595,26.1929164435923,4,0.0958497767344017,0.286687626402707,0.294337074027397,0.550624841773945,1
55cc7cfb74297e0005235c27,0.923725904803635,0.859347082764763,1,0,1.63576986777388,16.2870653725511,4,0.0340697993020475,0.231259282945705,0.224896511723762,0.233721143541017,1
55eb04337480920010aa9e0d,0.9467165420272,0.708193662750362,1,0,0.912491172750232,20.8682675147055,4,0.0442377609199012,0.178509584498505,0.225570916668577,0.141655256486306,1
562c2ff0733ea000111630df,0.956417576429304,0.916462222629713,1,0,1.37124685257676,18.0290475150382,4,0.0669897011241471,0.17973071076984,0.172455138731071,0.571221571997483,1
562eb896733ea000051638c6,0.959280529892669,1.45412254688843,1,0,0.997502392745973,4.17134216503065,4,0.296707959589294,0.144992610698674,0.0816706885476558,0.156409660253362,1
5658000ca9872d0011e1ba26,0.929137445491075,0.562756613199504,1,0,2.00945244513425,21.0216519718322,4,0.046052771048481,0.319861296152223,0.191063240012345,0.275731895985901,1
565bff58c121fe0005fc390d,0.882883933382059,0.397081730294761,1,0,0.742270368518464,37.5196548067289,4,0.0871575410836517,0.536642045789564,0.31285467608671,0.57831389435744,1
56780a5a89319e0011644cb4,0.625605200300648,0.389818590551659,1,0,0.982927938361877,14.0341160909467,4,0.72389370525476,0.171577758717809,0.281755688437222,0.0558381950691231,1
567dd32b4f0ef30006dbb718,0.933207205800338,0.497273196576914,1,0,1.34944542608021,24.5746558172901,4,0.0583789627076206,0.32461553200842,0.366907105876001,0.340686548249823,1
5685850c333cbd000d4e042f,0.934646617129681,0.761763900365114,1,0,1.21524774713287,17.9911626368375,4,0.0638717811365056,0.162259888702094,0.275099226705128,0.419919787536667,1
568d0641b5a2c2000cb657d0,0.945597796098446,0.694751284029997,1,0,1.35412904349013,19.5173326461726,4,0.0386383515250357,0.183309285224385,0.201680474886205,0.297470000212091,1
