id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d_win,posterior_eta_d_loss,posterior_eta_a_win,posterior_eta_a_loss,posterior_omega_d,posterior_omega_a_posi,posterior_omega_a_nega,fixed_lamgda
53b98f20fdf99b472f4700e4,0.84238774432765,2.79129668047156,1,0,0.89174252982423,4.57888532313356,4,0.0796248265300478,0.05534797278598,0.267467528462966,0.126737460813004,0.630357661102899,0.122330759922003,0.549756909921235,1
558fa9dffdf99b7ce2924662,0.734400910830123,0.442287255181344,1,0,0.847061460835901,11.0686224828952,4,0.55461035912796,0.257602549662842,0.596420390928396,0.471476659621254,0.104108572547925,0.129340468371405,0.145500717018632,1
5590a34cfdf99b729d4f69dc,0.827281514843016,0.178350824508543,1,0,0.664227658076554,23.7724676409656,4,0.71973565614151,0.570684195562731,0.421802390374177,0.593825226913297,0.114914235137274,0.289039194214968,0.180764427202904,1
5596a991fdf99b2d1e834690,0.504355996904917,0.465019423896057,1,0,0.822155230559623,22.5994262315385,4,0.186663615206242,0.593696575387193,0.614138396413341,0.44947455114367,0.493843425173189,0.50141263934901,0.261975805566191,1
55bcd160fdf99b1c4e4ae632,0.909111254223176,0.733574889218137,1,0,1.20683157086611,13.7212568694715,4,0.119035183096836,0.186197678359239,0.534473046658189,0.20694015760105,0.495002520629229,0.537495321068052,0.165835786085533,1
55cc7cfb74297e0005235c27,0.845490185922196,1.41140542742435,1,0,1.56006935814887,8.27532417989021,4,0.0566159812079362,0.223696107288194,0.28062065375537,0.184806955335971,0.452693517178352,0.304752685209216,0.036381942567586,1
55eb04337480920010aa9e0d,0.908999001707399,0.944581478769758,1,0,0.998450491705762,8.44079207231907,4,0.129590834440961,0.136121034039004,0.551974426207166,0.191792391687613,0.263709967402209,0.136554657464965,0.0629578709096198,1
562c2ff0733ea000111630df,0.912057620697524,1.79100025480627,1,0,1.27816893630643,6.87349687725405,4,0.0861572631977798,0.0890178959732329,0.396308524451639,0.104912764283396,0.524717237507764,0.587819799184224,0.54974298675017,1
562eb896733ea000051638c6,0.853118127643439,2.35112401784739,1,0,0.985697861970953,2.27832674164798,4,0.385113320025635,0.108174544369314,0.694319618875685,0.0885746346691122,0.215126491453414,0.353582421965116,0.0467988734692466,1
5658000ca9872d0011e1ba26,0.883451758156051,0.774347154425717,1,0,1.93542206300072,12.9542655109551,4,0.0617874906124737,0.218876879988092,0.270244742539872,0.139316677597176,0.307845820017311,0.199366453407706,0.323677524611633,1
565bff58c121fe0005fc390d,0.913956406998541,0.507991519761173,1,0,0.663839999322249,30.5728037565747,4,0.0716480560030718,0.438404369743052,0.325442024502237,0.288063546137884,0.375755893330355,0.618621687278041,0.11678200350299,1
56780a5a89319e0011644cb4,0.783898944104527,0.322340441549672,1,0,0.827405508293715,17.9552138839728,4,0.692891482409812,0.202509555454493,0.47911562150024,0.291264651597575,0.0431996102232711,0.338442454159504,0.19598962341647,1
567dd32b4f0ef30006dbb718,0.800272509258257,1.27388079535192,1,0,1.5146829421327,7.70179561817128,4,0.0929102624912257,0.150820533206206,0.541634736827864,0.196782329914733,0.52722898801209,0.242730652112548,0.0981489817783,1
5685850c333cbd000d4e042f,0.882377445679743,1.19643884747813,1,0,1.35493488602806,9.84393364605953,4,0.0686368723846936,0.0956341732122386,0.434763662796671,0.219993524303324,0.398916174470599,0.422293833353648,0.132906245058073,1
568d0641b5a2c2000cb657d0,0.900601140929141,0.890996126466327,1,0,1.73847697157204,10.5676517814221,4,0.0724970011236323,0.132688171705953,0.501960383164726,0.160291294041376,0.362647478559762,0.298795065091758,0.0947093627191246,1
5694e7b5e0c800000b5a3841,0.882863094690142,1.54466575195639,1,0,1.27496862387945,12.6871104790068,4,0.0623765679808188,0.143592999350506,0.436231878319033,0.207798467574363,0.277824495781376,0.372255530664241,0.194138352757656,1
56b72c28f2fc70000c32fb37,0.919255782969738,1.61191568212073,1,0,1.52929984525381,5.62112274548365,4,0.0833642407186356,0.0707273385731814,0.4506640015696,0.0849087845236255,0.300640745892609,0.234691293781663,0.514222122070772,1
56e225c2ec0fdd000641e72d,0.847184353089494,0.790267708073167,1,0,1.30183012351376,3.33219458878997,4,0.564334844091286,0.403345463804252,0.696733595972927,0.279208210352071,0.468362112299587,0.340477140231829,0.0333958388349685,1
56e8bf5a870a8e000b4a8d6e,0.913862829927653,1.17379875972104,1,0,1.17759779865695,4.55156040386288,4,0.356920358943476,0.196997072070748,0.606752562721604,0.0967408603588964,0.439661429719713,0.069328461549422,0.137334327849609,1
56ec9fa4f9ffc4000ac1941b,0.895012577992878,1.88930085291169,1,0,1.11275180925584,6.47619758004898,4,0.0690937570738906,0.184293632793631,0.378305519318202,0.170140427610422,0.547419242608275,0.381404153493302,0.0841401481590415,1
56f9364e895094000c8f4967,0.535333009621966,0.352273490643272,1,0,0.813276657983025,20.1753408749279,4,0.722254983377665,0.164042310416657,0.5,0.5,0.0261709655979464,0.280518861648873,0.200225606534165,1
570f018053cc8f000f8d4bbb,0.879474551102842,0.939103227288605,1,0,0.779468154719572,13.9483646015513,4,0.0364630522126343,0.114513088718046,0.589566685793107,0.141198167199886,0.0755576114369437,0.463919025187429,0.138772624035004,1
5769a352f48c3b00016737f9,0.672984775142608,3.58572210499074,1,0,1.4595422922204,3.46604400249593,4,0.0869711187148562,0.0291462737529781,0.413265586435369,0.275325052011943,0.549870544325782,0.266189849534478,0.0325030074190456,1
576ad50bc8a90000010d99c8,0.858325825607094,0.763765358182991,1,0,0.991139981669366,5.42993784758161,4,0.155167569794864,0.186626461971926,0.512602459061688,0.249902786067651,0.283055973455507,0.13188285169136,0.0437555264890216,1
577599baca706f000190eb48,0.857646443658558,0.358490991647084,1,0,1.09592012884309,6.0183291200285,4,0.178155724099142,0.222125161878778,0.633767501956132,0.132967631676281,0.409508576134415,0.131744113341152,0.0286034422594031,1
57ad04adddc11d00015bb1c3,0.890692840335533,1.43419467848231,1,0,0.952817873757682,7.69514047270113,4,0.0242949680863845,0.0231962723129309,0.622547173174447,0.144155564954376,0.121951141490393,0.52570600890404,0.211942561748999,1
57b771677bcf1a00013f2ba8,0.917816424675019,1.72308070587683,1,0,1.02140276340151,6.54722514970689,4,0.0622893256063273,0.142426402633104,0.21548559524382,0.119636830891854,0.475133625203939,0.274491236447796,0.462127720353288,1
57d0a0bee3221e00015fe385,0.743395308807535,0.389821260333194,1,0,0.508063458168366,16.5682994114649,4,0.527967807636111,0.199349986570434,0.621689974616064,0.277149812687668,0.107155082645603,0.365544232436882,0.196955793890797,1
581649f0b434f0000184d2a9,0.889273263404325,1.33432601999844,1,0,1.43870557858606,6.01591165177883,4,0.0955014667911267,0.136751638008529,0.282789726677299,0.132503251041671,0.526615869330899,0.142765126521526,0.281191904596719,1
586371807fbbcd00013972ad,0.876695145504682,3.27648485048489,1,0,0.704016018376887,2.7048578192581,4,0.0243867125280828,0.169855901187692,0.249859049006735,0.0591382645126419,0.107104401576728,0.225027581624569,0.587413971173475,1
587418895c17910001ea4e75,0.889044655197705,0.9349937600932,1,0,0.705951147054299,13.3581727450134,4,0.0850191908590932,0.332808551847804,0.349539987745984,0.200152409861108,0.555265269271121,0.687873657734585,0.266857262106398,1
58935d5d4d77be0001689f14,0.750792104704984,0.496029768995591,1,0,0.65836212570046,20.4648272918219,4,0.058099519031569,0.0623058029237667,0.550747946487531,0.317739889898627,0.116318647123088,0.401530626232731,0.190101536357532,1
