id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d,posterior_eta_a,posterior_omega_d,posterior_omega_a_posi,posterior_omega_a_nega,fixed_lamgda
53b98f20fdf99b472f4700e4,0.608639099189523,3.85861617852769,1,0,1.51184602190657,0.954892594175584,4,0.0768799789641842,0.140856638403028,0.558607283239291,0.193920940462821,0.031734368585687,1
558fa9dffdf99b7ce2924662,0.663713971948173,1.10602896549162,1,0,0.751571752687789,10.1320459942699,4,0.129753469630285,0.313636393014829,0.217342628151708,0.253165877094772,0.161401676517245,1
5590a34cfdf99b729d4f69dc,0.567094642493966,0.49214255947354,1,0,0.722362644953901,15.3297996900828,4,0.343262234035748,0.440827472436282,0.514941785168168,0.262979210514521,0.134510603477606,1
5596a991fdf99b2d1e834690,0.383464936231985,2.29696544851729,1,0,0.620858723326023,0.879126678091231,4,0.375773745236143,0.552847607951074,0.61038624640189,0.223578691485083,0.317384099345272,1
55bcd160fdf99b1c4e4ae632,0.566487194244785,3.66493445473484,1,0,1.60424967663586,1.52817947098867,4,0.0785078736731466,0.115661833427906,0.495838426435449,0.398330968928115,0.0670369343129577,1
55cc7cfb74297e0005235c27,0.624191579827335,3.3687109946041,1,0,1.19578493634198,0.710606143152876,4,0.116049209446177,0.166653338861762,0.55821757529108,0.195064737071396,0.106171275284553,1
55eb04337480920010aa9e0d,0.591986200110839,4.23678878606777,1,0,1.4952733432551,1.60593907876365,4,0.0619391340465293,0.0834073660592466,0.222787638739745,0.105192854194226,0.0415958994432684,1
562c2ff0733ea000111630df,0.566450889161916,5.77798873699715,1,0,1.24303151864874,0.257751322764149,4,0.0659707098452314,0.0757509671139031,0.418434248771101,0.473174837815119,0.0232170375246449,1
562eb896733ea000051638c6,0.647582265320333,2.9355961565165,1,0,0.85925911327527,2.78445807561955,4,0.0978617664320138,0.0904858599417454,0.292532054293966,0.30942509019938,0.0568310774694099,1
5658000ca9872d0011e1ba26,0.605236244446312,2.94126220001735,1,0,1.16739819252213,0.301085850034195,4,0.120033547266406,0.147772072693728,0.437204966812844,0.20766700773219,0.314317637995195,1
565bff58c121fe0005fc390d,0.535536293832356,3.88908390213567,1,0,1.14808688543248,1.00416098085271,4,0.0789830294730382,0.152267215919271,0.467059922340481,0.407253006646786,0.0931482611923142,1
56780a5a89319e0011644cb4,0.278967855635573,0.361276265472547,1,0,0.788611323917902,15.4436901260072,4,0.296627973706401,0.3366431542621,0.0281114292637096,0.24647862833348,0.180976226970198,1
567dd32b4f0ef30006dbb718,0.572745681784911,3.38416786313016,1,0,1.0938853716902,0.555561048617287,4,0.147619459466842,0.204295105228864,0.559602126877319,0.132431925283503,0.173082548509636,1
5685850c333cbd000d4e042f,0.559558651166414,4.97466714611379,1,0,1.06849950995715,1.04865478041331,4,0.0615187045842036,0.133803075332243,0.423169725194356,0.328962102818336,0.0448183049044416,1
568d0641b5a2c2000cb657d0,0.615215213500786,2.76454579978077,1,0,1.43852848628804,0.442235202448617,4,0.109619474121646,0.148063243399241,0.465177626119815,0.408468260246436,0.0636561380264002,1
5694e7b5e0c800000b5a3841,0.539350850571985,6.68141855996142,1,0,1.42696687546926,0.574441357579436,4,0.067952543399711,0.106581733279053,0.223119782208501,0.331730056944359,0.063352293710818,1
56b72c28f2fc70000c32fb37,0.662145203635998,2.67873910451912,1,0,1.58857006292568,0.397775191505485,4,0.100009262429082,0.109347104269571,0.154234469674982,0.141839381061818,0.0569566984123132,1
56e225c2ec0fdd000641e72d,0.697498630015107,0.667671500198445,1,0,1.3851680497945,4.0638029012969,4,0.474179259443342,0.501550833534408,0.486132341973916,0.323694765298154,0.123272184354819,1
