id,posterior_p_a,posterior_inv_temp,posterior_state_exploration,posterior_Rsensitivity,posterior_eta_d_win,posterior_eta_d_loss,posterior_eta_a,posterior_omega,fixed_parameter_exploration,fixed_reward_value,fixed_l_loss_value
53b98f20fdf99b472f4700e4,0.892292855921698,5.93042461797042,2.24835835129885,1.56613215547189,0.704846776651519,0.311909763657613,0.271558916905162,0.0314254853374547,0,1,1
558fa9dffdf99b7ce2924662,0.830187484692804,4.81030832015079,0.71084102917972,2.30055396891197,0.734229026476214,0.266287337510182,0.607787211542231,0.218960767097639,0,1,1
5590a34cfdf99b729d4f69dc,0.806231475452026,5.68577925263653,1.00741461239655,2.23943638097927,0.743138239852661,0.32797143846325,0.513014324790936,0.645696203789808,0,1,1
5596a991fdf99b2d1e834690,0.536789204454393,5.94473703896326,6.08614042295106,1.21889621129414,0.723747008525425,0.623202374440794,0.747186655876359,0.443778187662957,0,1,1
55bcd160fdf99b1c4e4ae632,0.6904433307582,5.3682125645588,3.45178643581848,3.67196913502798,0.618637400932146,0.34655566868206,0.605002755521427,0.114400539616302,0,1,1
55cc7cfb74297e0005235c27,0.789130838865388,7.04574958176512,1.9140954029683,1.00043813093229,0.218711843347206,0.564876829055674,0.0846545206397189,0.0072758920876669,0,1,1
55eb04337480920010aa9e0d,0.885361151248036,7.81521683505589,1.40289984755638,0.823735369091811,0.573502188710593,0.463213887201777,0.376113925862933,0.0277412743666497,0,1,1
562c2ff0733ea000111630df,0.937061790716288,4.33531398169999,2.48136696985815,2.97915610779048,0.632560918048726,0.32624070969014,0.266534072558969,0.0300769839203332,0,1,1
562eb896733ea000051638c6,0.947402146521354,5.82081818117011,1.60171214547562,2.68775075289614,0.53584842369421,0.345428736400571,0.0869353493337349,0.0965874981206673,0,1,1
5658000ca9872d0011e1ba26,0.829195998148296,5.21871148643957,2.05096212162366,2.41526709780224,0.360492046032134,0.66327290786652,0.0960966291555025,0.0075644873438176,0,1,1
565bff58c121fe0005fc390d,0.622815241974409,3.70725746614602,5.23356710990579,3.66856200437476,0.485177678759179,0.479298165502343,0.748420154246138,0.220623832180188,0,1,1
56780a5a89319e0011644cb4,0.776087056423202,6.47302310611677,1.02550933836153,2.9536563815696,0.732179092774365,0.105745390185986,0.422590690170833,0.345464358518642,0,1,1
