id,posterior_p_a,posterior_inv_temp,posterior_state_exploration,posterior_Rsensitivity,posterior_eta_d,posterior_eta_a_win,posterior_eta_a_loss,posterior_omega,fixed_parameter_exploration,fixed_reward_value,fixed_l_loss_value
53b98f20fdf99b472f4700e4,0.899524279690263,5.8157662658416,1.96178185469517,1.54277329208175,0.46009924361861,0.707010166116698,0.201808567301277,0.0847127027907124,0,1,1
558fa9dffdf99b7ce2924662,0.88432835187094,5.65526841117508,0.694237917156488,2.4756593758947,0.497278503906708,0.63412502062118,0.438045890350341,0.0988979488442149,0,1,1
5590a34cfdf99b729d4f69dc,0.81671862715157,5.64035028759057,0.968251040883172,1.66580068151211,0.699010349181676,0.532078873705655,0.475572826283672,0.415631137816553,0,1,1
5596a991fdf99b2d1e834690,0.535786634720186,5.96069348915257,6.39875438073026,1.27766848235589,0.741947890268169,0.784297548336173,0.364833388004232,0.405255949939587,0,1,1
55bcd160fdf99b1c4e4ae632,0.765712306927392,7.65096738494742,2.05308646376502,3.34066365629213,0.354955131771975,0.645649148141866,0.116403444950906,0.122638659531149,0,1,1
55cc7cfb74297e0005235c27,0.801066935901022,6.90036626819857,1.53647263471725,1.19058763092271,0.140355635428566,0.728881090984802,0.0867035411161202,0.035927666399943,0,1,1
55eb04337480920010aa9e0d,0.854314316329127,10.5196121148852,1.30328275052089,0.649675678942682,0.382326662473275,0.658210711288797,0.159707548906358,0.0514198037246247,0,1,1
562c2ff0733ea000111630df,0.854815407267462,5.7252568429439,2.2510833154683,2.63608031656648,0.350150606192518,0.799521246058083,0.128892560302372,0.0979644679578018,0,1,1
562eb896733ea000051638c6,0.931940602357223,10.7323488661761,1.07112302331355,1.71363387496959,0.239193054853298,0.676385037853029,0.074782588840279,0.07393101072432,0,1,1
5658000ca9872d0011e1ba26,0.821042559692745,4.46689776199817,1.93641497929198,2.41516246237615,0.379595215748519,0.694477063091217,0.14731935487809,0.0292604187207523,0,1,1
565bff58c121fe0005fc390d,0.688409351087421,6.19228899629405,2.63032404998731,3.31810459609078,0.246722928291577,0.788934268478787,0.0563399573439636,0.169252989942182,0,1,1
56780a5a89319e0011644cb4,0.769965895053815,5.59913260022102,0.843268988589758,1.61899551817024,0.505015637044435,0.494434732759148,0.473967863207903,0.155253277457016,0,1,1
567dd32b4f0ef30006dbb718,0.782168320589795,4.91678452667183,2.51270609900214,2.2824612814445,0.382924436224219,0.816972027206109,0.143789160528326,0.142388912532336,0,1,1
5685850c333cbd000d4e042f,0.792686707981057,8.10369887366221,1.80154964985123,0.424343064528468,0.507325862701261,0.732853419329724,0.15390375325162,0.100175739593777,0,1,1
