id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d,posterior_eta_a_win,posterior_eta_a_loss,posterior_omega_d,posterior_omega_a,fixed_lamgda
53b98f20fdf99b472f4700e4,0.896856357388009,1.78369521547809,1,0,0.920469761923157,6.2775667537674,4,0.0746986933318502,0.358745864477573,0.174779042721613,0.593659193323684,0.215252263702829,1
558fa9dffdf99b7ce2924662,0.729610568290611,0.323872474778332,1,0,0.87827825006203,19.368689550175,4,0.321663332854528,0.440352922014722,0.507984158396871,0.166338775273469,0.182332535698721,1
5590a34cfdf99b729d4f69dc,0.81735718272063,0.160717713081937,1,0,0.632226779269056,28.3153246121836,4,0.651098913206725,0.398625310567801,0.585888540492014,0.152767427538497,0.31983127715986,1
5596a991fdf99b2d1e834690,0.429460955136857,1.97536893651943,1,0,0.691445651487646,3.007165218717,4,0.266756310693127,0.634717835548818,0.222022348029304,0.611582665743653,0.04744851721655,1
55bcd160fdf99b1c4e4ae632,0.892253678019937,1.08853302197189,1,0,1.17607272945141,8.60195125998346,4,0.119683080355276,0.551171455448051,0.132995981480273,0.503418405987264,0.567934714804586,1
55cc7cfb74297e0005235c27,0.72118504044839,3.7443177917779,1,0,1.16669110068303,2.86571302912881,4,0.075586874910825,0.26611736612859,0.0727743198429338,0.577139422964087,0.0721748427033811,1
55eb04337480920010aa9e0d,0.901143931284977,0.989265027578523,1,0,0.923724426672346,8.32340156524854,4,0.120620863160676,0.535151241966244,0.196530503426946,0.252105156155953,0.103630645254631,1
562c2ff0733ea000111630df,0.91125355028446,1.89300581722592,1,0,1.27092401373417,6.57352728058667,4,0.0807314108661674,0.389341826613018,0.0989313817675168,0.504309776693843,0.654446218764845,1
562eb896733ea000051638c6,0.938146109632395,1.08741560295418,1,0,0.952106765685576,7.81179533407805,4,0.20396146785007,0.510906702011078,0.110106338550678,0.186894659533089,0.350255967012156,1
5658000ca9872d0011e1ba26,0.749984812126732,1.99772525972433,1,0,1.3135187707991,4.24305293113184,4,0.0799755530427316,0.35630438452098,0.0623236353352563,0.409339422017478,0.233390052039367,1
565bff58c121fe0005fc390d,0.746945131803046,2.15650091510364,1,0,0.871309396780778,5.35519344487346,4,0.0622942001747582,0.434692698111609,0.0913428141586156,0.260376856819034,0.610856721053992,1
56780a5a89319e0011644cb4,0.810962905567197,0.19973219902127,1,0,0.505509600621707,39.7785965543231,4,0.338603923530379,0.42363990349083,0.298662821595431,0.107699600460772,0.419776721132535,1
567dd32b4f0ef30006dbb718,0.737088645534338,1.82537129918099,1,0,1.479792936279,5.51464712112322,4,0.0916968856367136,0.500659675730043,0.139921342724721,0.493238740837216,0.170089288022221,1
5685850c333cbd000d4e042f,0.842232409382516,1.62484494908382,1,0,1.33008601417108,7.52871354084213,4,0.05977215288952,0.408118252931568,0.163245033923529,0.359040884731804,0.423145431236875,1
568d0641b5a2c2000cb657d0,0.873443747422779,1.06638733320186,1,0,1.81318957954662,8.49856472406577,4,0.0690367671897938,0.535630220817162,0.124371477721771,0.323998939053649,0.200973973964242,1
