id,posterior_p_a,posterior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,posterior_reward_value,fixed_l_loss_value,posterior_eta_d_win,posterior_eta_d_loss,posterior_eta_a_win,posterior_eta_a_loss,posterior_omega_d,posterior_omega_a,fixed_lamgda
53b98f20fdf99b472f4700e4,0.885477558662205,1.90758969200276,1,0,0.870685224893763,5.84979650401454,4,0.0829199807847249,0.0767251267067674,0.346755824460314,0.174004409982513,0.635239617760634,0.180231233394428,1
558fa9dffdf99b7ce2924662,0.732658771529309,0.456355867723579,1,0,0.853451030344228,10.7114601956757,4,0.555742063154522,0.252812658312051,0.578811542805062,0.475288725463734,0.106169372600922,0.116103186781287,1
5590a34cfdf99b729d4f69dc,0.819046696056957,0.174333885667989,1,0,0.648591579882124,24.3921286171914,4,0.719579547175556,0.571074539149613,0.420856526376847,0.582760950180786,0.112685835834095,0.280957667827809,1
5596a991fdf99b2d1e834690,0.508136284056378,0.483606805772971,1,0,0.817452137732273,21.9653550588502,4,0.185494396147716,0.589036313992045,0.611968841742194,0.452104758947067,0.499005935670166,0.509971423652621,1
55bcd160fdf99b1c4e4ae632,0.922219868315123,0.764400126284105,1,0,1.02843091693955,13.5419957736017,4,0.113457608622255,0.191170417007054,0.517633969072831,0.173318801855089,0.445429546879514,0.557202495872836,1
55cc7cfb74297e0005235c27,0.721792554834759,3.1600422400144,1,0,1.24796431110263,3.51074314353173,4,0.0744788828588061,0.120253163767899,0.24964633224414,0.0901118641826241,0.601834602775371,0.0652340851389543,1
55eb04337480920010aa9e0d,0.906171762605086,0.964712404301252,1,0,0.904447250876721,7.78942538170016,4,0.150132602855513,0.132956104132075,0.58949592184458,0.208579834749939,0.277344086556819,0.0944338469703701,1
562c2ff0733ea000111630df,0.917630021032024,1.80214967263353,1,0,1.28467232675542,6.85827858308947,4,0.0857243420856442,0.0885544628363541,0.399032743793528,0.103140163238589,0.523192385902074,0.65104877479062,1
562eb896733ea000051638c6,0.78851417517515,2.61279427640072,1,0,1.0478220573642,2.03054268564084,4,0.412783200838803,0.0898987384174704,0.6986421679511,0.0788598324941705,0.173630924685119,0.114915461054114,1
5658000ca9872d0011e1ba26,0.886796535095386,0.777870272146617,1,0,1.85872250914719,12.5818349661685,4,0.061921070030861,0.22865310338756,0.292930389714705,0.135798120449664,0.315663977494074,0.260462905676709,1
